time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
2.443228909403533766e+00,-3.805063769847981670e-01,-1.183591969875035128e-02,-4.445945167593485792e-01,1.135090695298096816e-09,-1.138037730994677421e+00,3.805063763187908621e-01,-6.826436544838550523e-15,7.264141450098391718e-03,-4.291271696001731223e-02,2.625250458659896776e-11,5.017685841009011938e-02,-6.268678442231748531e-11,-4.486348391100125217e-15,-4.313584924181079402e-03,4.477250147504119315e-02,-2.161193644726979514e-11,-4.908608639928148387e-02,5.849911475218646398e-11
2.444809264454894215e+00,-3.805063769847981670e-01,-1.182444517371938723e-02,-4.446622781509600997e-01,1.135132156560609993e-09,-1.137958495078035037e+00,3.805063763186918857e-01,-6.834685429492300824e-15,7.257303635465515816e-03,-4.284190878639856231e-02,2.621829770262157826e-11,5.009921242183842244e-02,-6.259423541166043818e-11,-5.950535486123785093e-15,-4.339933997191715298e-03,4.483795958834432827e-02,-2.167819292339925306e-11,-4.917789358557083518e-02,5.862521715882099796e-11
2.446389619506255109e+00,-3.805063769847981670e-01,-1.181298148777185780e-02,-4.447299275587790479e-01,1.135173563681351866e-09,-1.137879381984268523e+00,3.805063763185929648e-01,-6.845236891522793963e-15,7.250424170754149640e-03,-4.277099717301425380e-02,2.618398608992813007e-11,5.002142134374271826e-02,-6.250148708969374278e-11,-7.400350612614654550e-15,-4.366294676779329358e-03,4.490340848872571844e-02,-2.174447462632612035e-11,-4.926970316551562701e-02,5.875135084125027751e-11
2.447969974557615558e+00,-3.805063769847982225e-01,-1.180152870674411845e-02,-4.447974648193454561e-01,1.135214916494783327e-09,-1.137800391942674683e+00,3.805063763184943215e-01,-6.858068228332730007e-15,7.243503037721439781e-03,-4.269998213433621320e-02,2.614956970880543319e-11,4.994348517203197474e-02,-6.240853940711593534e-11,-8.835806752725485329e-15,-4.392666836798390928e-03,4.496884828750653124e-02,-2.181078136099121132e-11,-4.936151512429153704e-02,5.887751564079757695e-11
2.449550329608976451e+00,-3.805063769847982225e-01,-1.179008689650119096e-02,-4.448648897692218385e-01,1.135256214835301577e-09,-1.137721525182555427e+00,3.805063763183957337e-01,-6.873156758095842456e-15,7.236540218324042512e-03,-4.262886368466003995e-02,2.611504851984887474e-11,4.986540390295843284e-02,-6.231539231487662724e-11,-1.025691721082784004e-14,-4.419050350873091754e-03,4.503427909618786668e-02,-2.187711293181437481e-11,-4.945332944702379718e-02,5.900371139811876512e-11
2.451130684660336900e+00,-3.805063769847982225e-01,-1.177865612293646849e-02,-4.449322022449931913e-01,1.135297458537241366e-09,-1.137642781933219327e+00,3.805063763182973680e-01,-6.890479820265921000e-15,7.229535694718540982e-03,-4.255764183810512025e-02,2.608042248396343360e-11,4.978717753279808533e-02,-6.222204576417800432e-11,-1.166369561325750939e-14,-4.445445092397297404e-03,4.509970102645070172e-02,-2.194346914269450715e-11,-4.954514611878730462e-02,5.912993795320251214e-11
2.452711039711697794e+00,-3.805063769847982225e-01,-1.176723645197136521e-02,-4.449994020832668817e-01,1.135338647434877263e-09,-1.137564162423980729e+00,3.805063763181991132e-01,-6.910014776085507681e-15,7.222489449261772221e-03,-4.248631660861414833e-02,2.604569156236437505e-11,4.970880605785046868e-02,-6.212849970647553769e-11,-1.305615590806110876e-14,-4.471850934534610592e-03,4.516511419015607764e-02,-2.200984979700987845e-11,-4.963696512460669119e-02,5.925619514537079347e-11
2.454291394763058243e+00,-3.805063769847982225e-01,-1.175582794955502830e-02,-4.450664891206720930e-01,1.135379781362422422e-09,-1.137485666884159086e+00,3.805063763181009695e-01,-6.931739009093977753e-15,7.215401464511190556e-03,-4.241488800995282110e-02,2.601085571657805863e-11,4.963028947443869771e-02,-6.203475409347904355e-11,-1.443431236472627515e-14,-4.498267750218314792e-03,4.523051869934481550e-02,-2.207625469761806159e-11,-4.972878644945603888e-02,5.938248281327887702e-11
2.455871749814419136e+00,-3.805063769847982780e-01,-1.174443068166401184e-02,-4.451334631938595465e-01,1.135420860154028577e-09,-1.137407295543080510e+00,3.805063763180030478e-01,-6.955629925635426469e-15,7.208271723225260531e-03,-4.234335605570971328e-02,2.597591490844287189e-11,4.955162777890985415e-02,-6.194080887715404036e-11,-1.579817957391606404e-14,-4.524695412151407206e-03,4.529591466623789781e-02,-2.214268364685626495e-11,-4.982061007825934473e-02,5.950880079491615027e-11
2.457452104865779585e+00,-3.805063769847982780e-01,-1.173304471430197497e-02,-4.452003241395013911e-01,1.135461883643788320e-09,-1.137329048630076889e+00,3.805063763179051817e-01,-6.981664955365921639e-15,7.201100208363803851e-03,-4.227172075929602063e-02,2.594086910011002855e-11,4.947282096763493120e-02,-6.184666400972264055e-11,-1.714777244718978412e-14,-4.551133792806559726e-03,4.536130220323625339e-02,-2.220913644654134863e-11,-4.991243599589022251e-02,5.963514892760601695e-11
2.459032459917140034e+00,-3.805063769847982780e-01,-1.172167011349930024e-02,-4.452670717942907030e-01,1.135502851665734479e-09,-1.137250926374484772e+00,3.805063763178075931e-01,-7.009821551760584993e-15,7.193886903088338516e-03,-4.219998213394483139e-02,2.590571825404420497e-11,4.939386903700854203e-02,-6.175231944366422266e-11,-1.848310621673164808e-14,-4.577582764426204806e-03,4.542668142292081296e-02,-2.227561289797012492e-11,-5.000426418717201366e-02,5.976152704800658199e-11
2.460612814968500484e+00,-3.805063769847982780e-01,-1.171030694531287678e-02,-4.453337059949415422e-01,1.135543764053840324e-09,-1.137172929005647593e+00,3.805063763177100600e-01,-7.040077192619827889e-15,7.186631790762490826e-03,-4.212814019271150096e-02,2.587046233302463880e-11,4.931477198344964147e-02,-6.165777513171721493e-11,-1.980419643505233390e-14,-4.604042199022414031e-03,4.549205243805259230e-02,-2.234211280191931954e-11,-5.009609463687779429e-02,5.988793499211075493e-11
2.462193170019861377e+00,-3.805063769847982780e-01,-1.169895527582568394e-02,-4.454002265781882297e-01,1.135584620642021222e-09,-1.137095056752913669e+00,3.805063763176126379e-01,-7.072409380575581505e-15,7.179334854952335379e-03,-4.205619494847289558e-02,2.583510130014581723e-11,4.923552980340122065e-02,-6.156303102687959936e-11,-2.111105897470807780e-14,-4.630511968377005669e-03,4.555741536157272009e-02,-2.240863595864595935e-11,-5.018792732973054171e-02,6.001437259524687031e-11
