time_s,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6
4.994818932528986011e+00,3.805063769624405512e-01,-9.917059390389157403e-03,-4.553187167097161314e-01,5.261994462845509536e-09,-1.125394677766637264e+00,-3.805063903816271464e-01,8.823980907551375695e-10,2.854202498443171414e-03,-1.512294822748498115e-02,-3.686212352100173273e-08,1.797720585366728921e-02,9.058420847286671665e-08,3.684822688675061933e-08,-2.837964684022320667e-03,1.729147467382137829e-02,-1.539514362929077452e-06,-2.012713689833161429e-02,3.783174149039488441e-06
4.997694475955888116e+00,3.805063769651310657e-01,-9.908863751193271174e-03,-4.553621318872039803e-01,5.149599995035125977e-09,-1.125343066781866019e+00,-3.805063901054313025e-01,9.891261907777895144e-10,2.846030512385011851e-03,-1.507319721041872063e-02,-4.132121725135504476e-08,1.791928951945289880e-02,1.015419028827289791e-07,3.738054113991563352e-08,-2.845820063007516512e-03,1.731138865251139261e-02,-1.561759176333170833e-06,-2.015487298721716641e-02,3.837838052298855552e-06
5.000570019382790221e+00,3.805063769681305552e-01,-9.900691643368760703e-03,-4.554054039211439808e-01,5.024292219362347343e-09,-1.125291622452700757e+00,-3.805063897975025644e-01,1.097360572986220941e-09,2.837835944610342127e-03,-1.502338892364724239e-02,-4.584325690569182958e-08,1.786129342795713532e-02,1.126542791863655427e-07,3.789589529793896903e-08,-2.853670726542371829e-03,1.733130694745055322e-02,-1.583295306953573667e-06,-2.018260973678935935e-02,3.890760453353589340e-06
5.003445562809692326e+00,3.805063769714434052e-01,-9.892543131830789510e-03,-4.554485326468366013e-01,4.885893055840389478e-09,-1.125240345008490683e+00,-3.805063894574032268e-01,1.207052622968064836e-09,2.829618808755712464e-03,-1.497352335469217220e-02,-5.042621111579516318e-08,1.780321757730011362e-02,1.239163455421388753e-07,3.839439727328243230e-08,-2.861516621018586962e-03,1.735122960516719340e-02,-1.604127263898757149e-06,-2.021034713322452867e-02,3.941952432793100604e-06
5.006321106236594431e+00,3.805063769750737790e-01,-9.884418281455064834e-03,-4.554915178995463387e-01,4.734230247109262847e-09,-1.125189234678588557e+00,-3.805063890847101282e-01,1.318154037069242891e-09,2.821379118611927299e-03,-1.492360049094119089e-02,-5.506806149844370791e-08,1.774506196564168414e-02,1.353231420174699610e-07,3.887615529158823661e-08,-2.869357692752034887e-03,1.737115667225410526e-02,-1.624259569363437948e-06,-2.023808516266805899e-02,3.991425103364676190e-06
5.009196649663496537e+00,3.805063769790255623e-01,-9.876317157077397005e-03,-4.555343595145013302e-01,4.569137321042922402e-09,-1.125138291692353798e+00,-3.805063886790141514e-01,1.430616823289918223e-09,2.813116888124260820e-03,-1.487362031964783657e-02,-5.976680269284910639e-08,1.768682659118148842e-02,1.468697406808356076e-07,3.934127788851011944e-08,-2.877193887982813260e-03,1.739108819536847733e-02,-1.643696758496172551e-06,-2.026582381123457829e-02,4.039189609648091283e-06
5.012072193090398642e+00,3.805063769833026410e-01,-9.868239823493296994e-03,-4.555770573268926871e-01,4.390453553250053597e-09,-1.125087516279149824e+00,-3.805063882399202235e-01,1.544393302170856828e-09,2.804832131392698963e-03,-1.482358282793149080e-02,-6.452044239769255663e-08,1.762851145215926091e-02,1.585512456927817262e-07,3.978987390652701631e-08,-2.885025152875310330e-03,1.741102422123196394e-02,-1.662443379266210257e-06,-2.029356306500831528e-02,4.085257127728428531e-06
5.014947736517300747e+00,3.805063769879086788e-01,-9.860186345457502832e-03,-4.556196111718743835e-01,4.198023929467680611e-09,-1.125036908668346269e+00,-3.805063877670474271e-01,1.659436107671485801e-09,2.796524862672141506e-03,-1.477348800277708020e-02,-6.932700140781454709e-08,1.757011654685477001e-02,1.703627933960839006e-07,4.022205249174515403e-08,-2.892851433518263057e-03,1.743096479663056378e-02,-1.680503992329869274e-06,-2.032130291004318606e-02,4.129638864867706243e-06
5.017823279944203740e+00,3.805063769928473394e-01,-9.852156787683509498e-03,-4.556620208845627573e-01,3.991699107849706097e-09,-1.124986469089316543e+00,-3.805063872600289443e-01,1.775698188038691469e-09,2.788195096372604598e-03,-1.472333583103477631e-02,-7.418451365051759028e-08,1.751164187358781460e-02,1.822995524049563942e-07,4.063792309068383200e-08,-2.900672675924829101e-03,1.745090996841461642e-02,-1.697883170896232875e-06,-2.034904333236313770e-02,4.172346059174848095e-06
5.020698823371104957e+00,3.805063769981220090e-01,-9.844151214843201159e-03,-4.557042863000361765e-01,3.771335381154017066e-09,-1.124936197771439161e+00,-3.805063867185115023e-01,1.893132806665001292e-09,2.779842847059476631e-03,-1.467312629942011011e-02,-7.909102622142537583e-08,1.745308743071858140e-02,1.943567236931727730e-07,4.103759544703931299e-08,-2.908488826032632358e-03,1.747085978349880928e-02,-1.714585500591925878e-06,-2.037678431796231468e-02,4.213389979273386172e-06
